StorageLocation,Item,UofM,Qty,UofM2,Qty2,UofM3,Qty3
BEER Taco Shop,BEER BTL Blue Moon,Bottle (12 OZ-fl),0,,,,
BEER Taco Shop,BEER BTL Corona,Bottle (12 OZ-fl),0,,,,
BEER Taco Shop,BEER BTL Corona Light,Bottle (12 OZ-fl),0,,,,
BEER Taco Shop,BEER BTL Dos Xx Amber,Bottle (12 OZ-fl),0,,,,
BEER Taco Shop,BEER BTL Dos Xx Lager,Bottle (12 OZ-fl),0,,,,
BEER Taco Shop,BEER BTL Heineken,Bottle (12 OZ-fl),0,,,,
BEER Taco Shop,BEER BTL Lagunitas Ipa,Bottle (12 OZ-fl),0,,,,
BEER Taco Shop,BEER BTL Modelo Especial,Bottle (12 OZ-fl),0,Bottle (7 OZ-fl),0,,
BEER Taco Shop,BEER BTL Negra Modelo,Bottle (12 OZ-fl),0,,,,
BEER Taco Shop,BEER BTL Pacifico,Bottle (12 OZ-fl),0,,,,
BEER Taco Shop,BEER BTL Tecate Can,Bottle (12 OZ-fl),0,,,,
BEER Taco Shop,BEER BTL Tecate Light Can,Bottle (12 OZ-fl),0,,,,
BEER Taco Shop,BEER BTL Victoria,Bottle (12 OZ-fl),0,,,,
BAR CONS Taco Shop,CAN DRY Coconut Shredded Sweetened,lb,0,,,,
BAR CONS Taco Shop,CAN DRY Juice Lemon,Bottle (59 OZ-fl),0,Gal,0,Bottle (750 ML),0
BAR CONS Taco Shop,CAN DRY Juice Lime,Bottle (59 OZ-fl),0,Bottle (59 OZ-fl),0,Bottle (750 ML),0
BAR CONS Taco Shop,CAN DRY Tajin,Jar - 5.3 OZ-wt,0,,,,
BAR CONS Taco Shop,CON BAR Agua Tamarindo,Bottle (32 OZ-fl),0,,,,
BAR CONS Taco Shop,CON BAR Bitter Aromatic,Bottle (4 OZ-fl),0,Bottle (16 OZ-fl),0,Bottle (6.7 OZ-fl),0
BAR CONS Taco Shop,CON BAR Bitter Orange,Bottle (200 mL),0,Bottle (4 OZ-fl),0,,
BAR CONS Taco Shop,CON BAR Bitter Peychaud's,Bottle (200 mL),0,,,,
BAR CONS Taco Shop,CON BAR Black Cherries,Bottle (44 OZ-fl),0,0.5 Gallon,0,Case - 8 OZ-wt,0
BAR CONS Taco Shop,CON BAR Chamoy,Bottle (1 Litre),0,,,,
BAR CONS Taco Shop,CON BAR Cherry Maraschino,Gallon,0,Can - 3 Kg,0,Case - 8 OZ-wt,0
BAR CONS Taco Shop,CON BAR Coconut Water,Bottle (11.1 OZ-fl),0,Bottle (1 Litre),0,,
BAR CONS Taco Shop,CON BAR Coke Bib,Keg (5 Gal),0,Gal,0,,
BAR CONS Taco Shop,CON BAR Dragon Fruit Chunks,lb,0,,,,
BAR CONS Taco Shop,CON BAR Edible Flowers,Flower,0,,,,
BAR CONS Taco Shop,CON BAR Fee Foam,Bottle (150 mL),0,Bottle (200 mL),0,,
BAR CONS Taco Shop,CON BAR Garnish Dragonfruit,SLICE,0,Bag - 500 Slices,0,,
BAR CONS Taco Shop,CON BAR Garnish Grapefruit,SLICE,0,Bag - 500 Slices,0,,
